PERIODO ACADEMICO,FACULTAD,CODIGO UNIDAD DE ESTUDIO,CODIGO DEL GRUPO,CREDITOS,TIPO DE OFERTA,TIPOLOGIA,DENOMINACION GRUPO,COD_DUMI_1,DUMI_1,COD_DUMI_2,DUMI_2,COD_DUMI_3,DUMI_3,COD_DUMI_4,DUMI_4,COD_DUMI_5,DUMI_5,COD_DUMI_6,DUMI_6,DIRECTOR UNIDAD DE ESTUDIO,FECHA INICIO,FECHA FINAL,HORA DE INICIO,HORA FINAL,LUNES,MARTES,MIERCOLES,JUEVES,VIERNES,SABADO,DOMINGO
2025-2,FAFCE,AFA00324,AFA00324C301,3,C3,NUCLEAR,ANALI DE LA INFORM FINANC C3G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,21.07.2025,19.09.2025,20:00:00,21:59:00,LUNES N410 CALLE79,,,,VIERNES N410 CALLE79,,
2025-2,FAFCE,AFA00324,AFA00324C301,3,C3,NUCLEAR,ANALI DE LA INFORM FINANC C3G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,23.07.2025,17.09.2025,20:00:00,21:59:00,,,MIERCOLES  ,,,,
2025-2,FAFCE,AFA00324,AFA00324C302,3,C3,NUCLEAR, ANALI DE LA INFORM FINANC C3G2,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,21.07.2025,19.09.2025,10:00:00,11:59:00,LUNES  ,,MIERCOLES  ,,VIERNES  ,,
2025-2,FAFCE,AFA00324,AFA00324C401,3,C4,NUCLEAR, ANALI DE LA INFORM FINANC C4G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,22.09.2025,21.11.2025,12:00:00,13:59:00,LUNES N412 CALLE79,,MIERCOLES N412 CALLE79,,VIERNES N412 CALLE79,,
2025-2,FAFCE,AFA00328,AFA00328C301,3,C3,NUCLEAR, CONTABILIDAD FINANCIERA C3G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,21.07.2025,15.09.2025,18:00:00,19:59:00,LUNES  ,,,,,,
2025-2,FAFCE,AFA00328,AFA00328C301,3,C3,NUCLEAR, CONTABILIDAD FINANCIERA C3G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,22.07.2025,18.09.2025,20:00:00,21:59:00,,MARTES N412 CALLE79,,JUEVES N412 CALLE79,,,
2025-2,FAFCE,AFA00328,AFA00328C302,3,C3,NUCLEAR, CONTABILIDAD FINANCIERA C3G2,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,23.07.2025,19.09.2025,10:00:00,11:59:00,,,MIERCOLES  ,,VIERNES  ,,
2025-2,FAFCE,AFA00328,AFA00328C302,3,C3,NUCLEAR, CONTABILIDAD FINANCIERA C3G2,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,21.07.2025,15.09.2025,10:00:00,11:59:00,LUNES N307 CALLE79,,,,,,
2025-2,FAFCE,AFA00328,AFA00328C401,3,C4,NUCLEAR, CONTABILIDAD FINANCIERA C4G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,22.09.2025,21.11.2025,16:00:00,17:59:00,LUNES N411 CALLE79,,MIERCOLES N411 CALLE79,,VIERNES N411 CALLE79,,
2025-2,FAFCE,AFA00330,AFA00330C301,2,C3,NUCLEAR, CORPORATE FINANCE C3G1,,,,,,,,,,,,,MATITUY TORRES DIEGO ARMANDO,21.07.2025,17.09.2025,16:00:00,17:59:00,LUNES SAL_BLOOMB CALLE79,,MIERCOLES SAL_BLOOMB CALLE79,,,,
